year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1965,5.06,4.83,9.4,11.88,18.86,25.71,27.57,25.67,21.58,18.11,11.75,4.11
1966,5.54,8.05,7.71,13.42,21.02,28.01,27.58,27.45,21.91,15.4,10.47,5.67
1967,4.08,5.68,9.25,13.33,18.26,25.63,29.59,27.65,23.19,14.54,10.25,5.14
1968,3.72,4.29,9.97,14.46,17.32,26.86,29.1,26.75,22.59,15.48,9.49,2.92
1969,2.3,4.12,12.4,14.25,19.89,25.53,29.03,27.15,22.11,17.28,10.82,7.02
1970,4.14,7.26,8.85,16.98,22.36,27.1,27.59,29.06,23.73,18.03,10.94,6.42
1971,4.89,5.95,12.08,16.42,22.73,28.87,28.49,27.88,21.49,17.2,11.67,7.57
1972,4.46,3.32,8.66,14.73,18.01,25.11,26.41,24.82,20.75,14.83,10.91,5.2
1973,1.47,5.27,8.34,14.82,20.78,28.58,28.76,28.12,24.05,15.42,11.39,5.98
1974,3.5,3.48,12.03,16.44,19.12,25.26,27.56,26.59,20.91,15.63,10.85,4.57
1975,3.12,4.32,7.96,14.21,19.64,25.7,27.29,26.3,22.19,16.25,9.2,5.39
1976,4.85,5.1,8.25,14.1,20.45,26.3,29.8,26.3,22.1,15.85,11.25,5.2
1977,1.85,3.9,12.4,16.15,20,26.75,29.8,27.35,22.3,17.8,11.75,6.25
1978,3.9,5.65,8.05,16.1,21.8,28,27.55,27.55,23.2,17.15,10,7.45
1979,5.8,6.1,8.7,17.05,16.85,26.35,28.85,24.65,21.55,17.35,10.3,6.25
1980,4.1,5.35,9.05,17.15,20.65,26.3,28.85,26.1,21.85,16.7,11.2,7.3
1981,4.25,5.6,10,16,21.4,24.65,27.95,26.05,21.2,15.35,10.7,5.9
1982,5.4,4.05,9.2,16.3,20.95,25.75,26.9,27.35,20.25,16.45,9.35,4.65
1983,4.85,6.25,7.35,14.7,20.95,25.45,28,27.9,23.55,16.1,11,5.15
1984,3.05,3,10.8,14.95,20.45,27.9,27.65,28.2,21.05,15.55,9.85,4.9
1985,4.45,8.05,12.5,16.1,20.2,26.8,29.5,26.35,22.8,15.65,10.65,5.7
1986,4.2,5.5,8.45,14.85,20.15,24.95,26.8,24.9,21.4,17.6,9.95,3.35
1987,5.35,6.85,10.45,15.4,19,22.65,25.85,26.8,22.65,15.1,11.9,8.15
1988,4.8,7.65,8.4,16.45,21.4,25.8,29.2,25.55,22.6,15.5,11.5,7.2
1989,3.3,4.25,9.7,13.7,19.25,24.65,26.35,25,21.25,16.7,10.4,6.55
1990,4.25,5.55,10.6,14.55,23.15,25.75,28.6,27.2,24.2,15.95,11.75,5.45
1991,2.85,4.5,9,13.75,17.4,23.85,26.65,26.85,22.6,14.55,10.35,6.55
1992,3.45,0.6,7.7,14,17.95,24.65,27.4,26.3,21.4,16,11.65,6.75
1993,3.25,8,7.3,16.45,21.25,25,26.7,25,23.25,14.85,11.15,8.2
1994,4.5,5,10.95,13.05,19.95,25.95,29.3,28,20.3,14.6,10.95,6.15
1995,4.45,7.05,8.95,13.9,19.45,24.7,28.75,27.25,21.15,15.55,11.1,4.9
1996,4.9,7.1,9.85,15.7,18.4,25.65,26.7,26.2,23.65,15.65,9.5,6.2
1997,5.45,6.9,8.35,14.2,17.9,24.9,29.15,26.35,23.45,16.05,10.15,6.3
1998,3.7,5.45,10,17.15,20.75,23.3,28.1,26.6,22.9,17.85,11.95,9.3
1999,6.1,6.05,10.3,16.45,21.7,26.35,28.1,26.35,23.8,17.2,10.2,8.25
2000,5.9,5.65,10.1,17.8,24.05,25.85,27.9,26.85,23,18.6,10.55,7.05
2001,6.1,7.25,11.55,16.9,23.75,27.65,29.2,26.3,21.75,18.05,11.75,8.2
2002,6.95,5.9,11.8,15.35,21.7,25.65,27.5,27.05,21.7,18.1,11.4,6.45
2003,6.8,6.55,9.4,16.6,18.95,25.5,28.6,26.3,22.5,16.2,10.2,5.95
2004,4.3,7.35,13.6,16.9,19.6,24.3,24.95,24.2,20.5,12.1,11.65,6.6
2005,3.65,4.4,11.9,15.05,17.35,25.35,27.8,26.1,23.7,17,10.05,6.75
2006,3.5,10.4,12.1,16.2,24.75,25.55,28.95,27.4,22.3,18.85,11.15,4.65
2007,4.8,7.95,8.95,18.1,21.2,26.3,28.1,27.25,23.1,15.8,12,5.25
2008,0.55,4.85,14.05,16.15,23,28.65,27.85,26.35,20.95,17.55,10.6,7.05
2009,5.1,5.1,10.35,13.25,20.7,22.35,27.2,27.4,21.85,15.15,9.1,6
2010,6.95,4.1,13.35,16.3,19.85,23.25,26.55,24.6,20.85,17.35,11.35,6.55
2011,4.75,3.8,11.2,15.2,22.95,27.6,28.15,27.55,22.6,16.45,12.05,6.5
2012,3.2,3.7,9.15,17.7,16.8,19.2,24.4,27.1,21.9,15.9,10.7,6.25
2013,3.65,5.4,11.4,15.4,19.4,26.4,28.25,26.3,23.1,17.9,9.9,7.2
2014,5.4,5.7,8.5,14.9,19.5,24.9,28.3,24.9,22.8,16.2,9.35,6.9
2015,5.35,6.2,9.9,16.1,19.2,25.6,27.3,16.1,20.95,17,10.2,6.8
2016,6.65,8.3,11.6,14.4,22.1,25.5,28.1,25.4,28.5,17.6,11.5,6.5
2017,3.95,5,10.9,17.5,22.3,27.4,29.05,27,22.8,17.6,10.7,6.8
2018,6.1,7.2,13.3,17.2,19.4,26.6,28.9,28.5,23.3,15.2,10.9,7.6
